Stadium,City,State,Team,Conference,Capacity,Record1,Surface
Kinnick Stadium,Iowa City,IA,Iowa,Big Ten,"70,585","70,585",FieldTurf
Kornblau Field at S.B. Ballard Stadium,Norfolk,VA,Old Dominion,C-USA,"22,480","20,532",AstroTurf GameDay Grass 3D
Kroger Field at C.M. Newton Grounds,Lexington,KY,Kentucky,SEC,"61,000","71,024",Artificial Turf
Kyle Field,College Station,TX,Texas A&M,SEC,"102,733","110,633",Grass
Lane Stadium/Worsham Field,Blacksburg,VA,Virginia Tech,ACC,"66,233","66,233",Grass
LaVell Edwards Stadium,Provo,UT,BYU,Independent,"63,470","66,247",Grass
Liberty Bowl Memorial Stadium,Memphis,TN,Memphis,American,"62,380","65,885",AstroTurf
Lincoln Financial Field,Philadelphia,PA,Temple,American,"68,532","69,176",Desso GrassMaster
Los Angeles Memorial Coliseum,Los Angeles,CA,Southern California,Pac-12,"77,500","105,236",Grass
Mackay Stadium,Reno,NV,Nevada,Mountain West,"26,000","33,391",FieldTurf
Martin Stadium,Pullman,WA,Washington State,Pac-12,"32,248","40,306",FieldTurf
McColl–Richardson Field at Jerry Richardson Stadium,Charlotte,NC,Charlotte,C-USA,"15,314","19,151",Matrix Artificial Turf
McLane Stadium,Waco,TX,Baylor,Big 12,"45,140","50,223",Matrix Artificial Turf
Memorial Stadium,Champaign,IL,Illinois,Big Ten,"60,670","78,297",FieldTurf
Memorial Stadium,Bloomington,IN,Indiana,Big Ten,"52,959","56,223",FieldTurf Revolution 360
"Memorial Stadium, Tom Osborne Field",Lincoln,NE,Nebraska,Big Ten,"85,458","91,585",FieldTurf
Merlin Olsen Field at Maverik Stadium,Logan,UT,Utah State,Mountain West,"25,513","33,119",AstroTurf GameDay Grass 3D60 Extreme
Michigan Stadium,Ann Arbor,MI,Michigan,Big Ten,"107,601","115,109",FieldTurf Duraspine
Mountaineer Field at Milan Puskar Stadium,Morgantown,WV,West Virginia,Big 12,"60,000","70,222",FieldTurf
Navy–Marine Corps Memorial Stadium,Annapolis,MD,Navy,American,"34,000","38,792",FieldTurf Revolution
